Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 22:12:55,2019-09-08 22:14:34,1m - 39.032s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 22:12:55,2019-09-08 22:14:34,1m - 38.918s,FAILED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 22:12:56,2019-09-08 22:12:56,0.525s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 22:12:56,2019-09-08 22:12:56,0.015s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:12:56,2019-09-08 22:14:34,1m - 38.068s,FAILED
