Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-08 22:54:22,2019-09-08 22:56:42,2m - 19.848s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-08 22:54:22,2019-09-08 22:56:42,2m - 19.654s,PASSED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-08 22:54:23,2019-09-08 22:54:23,0.680s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:54:23,2019-09-08 22:56:42,2m - 18.534s,PASSED
