Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-08 22:22:16,2019-09-08 22:23:48,1m - 32.243s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-08 22:22:16,2019-09-08 22:23:48,1m - 32.092s,FAILED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-08 22:22:17,2019-09-08 22:22:17,0.569s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:22:17,2019-09-08 22:23:48,1m - 31.211s,FAILED
