Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-08 22:45:22,2019-09-08 22:47:22,2m - 0.601s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-08 22:45:22,2019-09-08 22:47:22,2m - 0.368s,PASSED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-08 22:45:22,2019-09-08 22:45:23,0.723s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:45:23,2019-09-08 22:47:22,1m - 59.265s,PASSED
