Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-09 00:08:34,2019-09-09 00:10:16,1m - 41.805s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-09 00:08:35,2019-09-09 00:10:16,1m - 41.627s,PASSED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-09 00:08:35,2019-09-09 00:08:36,0.778s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-09 00:08:36,2019-09-09 00:08:36,0.028s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-09 00:08:36,2019-09-09 00:10:16,1m - 40.377s,PASSED
