Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 22:54:22,2019-09-08 22:57:48,3m - 26.026s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 22:54:22,2019-09-08 22:57:48,3m - 25.838s,PASSED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 22:54:23,2019-09-08 22:54:23,0.742s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 22:54:23,2019-09-08 22:54:23,0.020s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:54:23,2019-09-08 22:57:48,3m - 24.585s,PASSED
