Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mockup Tanent,Chrome 78.0.3904.108,,,2019-11-19 14:02:08,2019-11-19 14:16:48,14m - 40.375s,PASSED
,,,,,,,
Test Cases/TC-02_CPN_Tenants_MockUp,Chrome 78.0.3904.108,,,2019-11-19 14:02:08,2019-11-19 14:16:48,14m - 40.049s,PASSED
"closeC = "" """,Chrome 78.0.3904.108,,,2019-11-19 14:02:08,2019-11-19 14:02:08,0.002s,PASSED
"xlsData = findTestData(""mockup_tanent"")",Chrome 78.0.3904.108,,,2019-11-19 14:02:08,2019-11-19 14:02:09,0.575s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 78.0.3904.108,,,2019-11-19 14:02:09,2019-11-19 14:16:48,14m - 39.074s,PASSED
