Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 20:57:31,2019-09-08 20:57:48,17.567s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 20:57:31,2019-09-08 20:57:48,17.445s,ERROR
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 20:57:31,2019-09-08 20:57:32,0.504s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 20:57:32,2019-09-08 20:57:32,0.016s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 20:57:32,2019-09-08 20:57:48,16.576s,PASSED
