Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-09 00:05:47,2019-09-09 00:07:31,1m - 44.398s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-09 00:05:47,2019-09-09 00:07:31,1m - 44.239s,PASSED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-09 00:05:48,2019-09-09 00:05:48,0.775s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-09 00:05:48,2019-09-09 00:05:48,0.022s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-09 00:05:48,2019-09-09 00:07:31,1m - 42.986s,PASSED
