Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 22:17:43,2019-09-08 22:19:42,1m - 59.194s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 22:17:43,2019-09-08 22:19:42,1m - 59.076s,FAILED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 22:17:43,2019-09-08 22:17:44,0.573s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 22:17:44,2019-09-08 22:17:44,0.016s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:17:44,2019-09-08 22:19:42,1m - 58.155s,FAILED
