Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 20:34:29,2019-09-08 20:36:07,1m - 37.944s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 20:34:29,2019-09-08 20:36:07,1m - 37.802s,FAILED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 20:34:30,2019-09-08 20:34:30,0.532s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 20:34:30,2019-09-08 20:34:30,0.016s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 20:34:30,2019-09-08 20:36:07,1m - 36.935s,FAILED
