Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-08 23:48:20,2019-09-08 23:49:33,1m - 13.401s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-08 23:48:20,2019-09-08 23:49:33,1m - 13.179s,PASSED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-08 23:48:21,2019-09-08 23:48:21,0.677s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 23:48:21,2019-09-08 23:49:33,1m - 12.154s,PASSED
