Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 22:45:21,2019-09-08 22:48:36,3m - 14.378s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 22:45:22,2019-09-08 22:48:36,3m - 14.228s,PASSED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 22:45:22,2019-09-08 22:45:23,0.791s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 22:45:23,2019-09-08 22:45:23,0.020s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 22:45:23,2019-09-08 22:48:36,3m - 12.940s,PASSED
