Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-09 00:08:35,2019-09-09 00:09:47,1m - 12.397s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-09 00:08:35,2019-09-09 00:09:47,1m - 12.215s,PASSED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-09 00:08:35,2019-09-09 00:08:36,0.728s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-09 00:08:36,2019-09-09 00:09:47,1m - 11.112s,PASSED
