Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-02,Chrome 76.0.3809.132,,,2019-09-09 00:05:47,2019-09-09 00:07:00,1m - 13.419s,INCOMPLETE
,,,,,,,
Test Cases/TC-02_CPN_Tenants,Chrome 76.0.3809.132,,,2019-09-09 00:05:47,2019-09-09 00:07:00,1m - 13.245s,PASSED
"xlsData = findTestData(""Data_CPN_Tenants"")",Chrome 76.0.3809.132,,,2019-09-09 00:05:48,2019-09-09 00:05:48,0.729s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-09 00:05:48,2019-09-09 00:07:00,1m - 12.147s,PASSED
