Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 23:48:20,2019-09-08 23:50:00,1m - 40.788s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 23:48:20,2019-09-08 23:50:00,1m - 40.646s,PASSED
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 23:48:20,2019-09-08 23:48:21,0.719s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 23:48:21,2019-09-08 23:48:21,0.020s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 23:48:21,2019-09-08 23:50:00,1m - 39.449s,PASSED
