Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC-01,Chrome 76.0.3809.132,,,2019-09-08 17:47:48,2019-09-08 17:47:58,9.836s,INCOMPLETE
,,,,,,,
Test Cases/TC-01_CPN_Shopper,Chrome 76.0.3809.132,,,2019-09-08 17:47:48,2019-09-08 17:47:58,9.677s,ERROR
"xlsData = findTestData(""Data_CPN_Shopper"")",Chrome 76.0.3809.132,,,2019-09-08 17:47:48,2019-09-08 17:47:49,0.564s,PASSED
"checkBox = findTestObject(""Object Repository/checkbox"")",Chrome 76.0.3809.132,,,2019-09-08 17:47:49,2019-09-08 17:47:49,0.016s,PASSED
"for ([row = 1, row <= xlsData.getRowNumbers(), (row++)])",Chrome 76.0.3809.132,,,2019-09-08 17:47:49,2019-09-08 17:47:58,8.771s,ERROR
